"NUTS_code","NUTS_year","edge","field","low","rich","edge_mha","agriculture","fallow_per"
"D138","D138_2007",2,0,8,3,85.0586076940952,212.245919514177,2.26608432843343
"D138","D138_2007",30,25,89,11,52.4269794334242,252.5317463938,2.26608432843343
"D139","D139_2007",0,0,0,0,32.4461464870201,70.4610287084085,1.14887104040799
"D139","D139_2007",6,3,30,8,55.151540042364,140.642187032731,1.14887104040799
"D142","D142_2007",43,8,61,14,19.3302994434819,114.073214787928,7.02081972050037
"D142","D142_2007",25,12,49,9,19.3302994434819,114.073214787928,2.60076963333245
"D142","D142_2007",19,1,48,10,19.3302994434819,114.073214787928,3.07357596541779
"D139","D139_2007",6,0,24,6,18.021177362284,47.0655227373785,1.66206893882126
"D154","D154_2007",23,3,76,9,70.9358992249997,127.050342486778,4.4952134509976
"D154","D154_2007",28,2,69,9,70.9358992249997,127.050342486778,0.979526918234636
"D137","D137_2007",51,27,96,13,25.1378467448976,178.489262519076,5.06249274165202
"D137","D137_2007",5,0,17,3,11.0290490066799,182.993715617654,1.89220310496735
"D137","D137_2007",67,7,113,10,10.9464579474268,262.786768763541,5.06249274165202
"D137","D137_2007",50,19,90,10,10.9464579474268,262.786768763541,2.42212713061849
"D137","D137_2007",45,26,111,9,10.9464579474268,262.786768763541,1.89220310496735
"D136","D136_2007",10,0,77,7,19.2437697199226,120.122901265381,2.6330784654828
"D136","D136_2007",22,0,97,10,19.2437697199226,120.122901265381,1.18679050149394
"D136","D136_2007",0,0,58,6,19.2437697199226,120.122901265381,1.85332436798886
"D137","D137_2007",38,2,60,11,53.6588248140806,118.700148811411,5.06249274165202
"D137","D137_2007",34,10,60,10,53.6588248140806,118.700148811411,2.42212713061849
"D137","D137_2007",17,3,54,7,53.6588248140806,118.700148811411,1.89220310496735
"D141","D141_2007",0,0,0,0,54.0654213587815,230.46867474105,1.7357278386156
"D141","D141_2007",6,8,25,6,54.0654213587815,230.46867474105,0.952523308339061
"D136","D136_2007",0,0,17,3,68.7770981970984,62.4916092161463,1.85332436798886
"D141","D141_2007",0,0,16,2,33.4446571493576,31.4585703221957,1.7357278386156
"D141","D141_2007",0,0,30,4,33.4446571493576,31.4585703221957,0.602648626512662
"D141","D141_2007",2,0,15,4,33.4446571493576,31.4585703221957,0.952523308339061
"D154","D154_2007",19,27,86,10,48.904884809101,294.199788572308,1.73914137163179
"D154","D154_2007",6,14,70,9,41.2716360159197,243.072429110926,4.4952134509976
